SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)(NC[C@@H](O)COc2cccc3[nH]c(C#N)cc23)CC1,"4",9,Done,21.16,-3.92216,"gpcr_grid",-6.80416,-3.19257,-0.358321,-0,-0.535342,-49.6786,-6.36352,0.720536,0,-76.3984,-56.0421,12.1444
CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)(NC[C@@H](O)COc2cccc3[nH]c(C#N)cc23)CC1,"4",9,Done,21.17,-3.68011,"gpcr_grid",-6.56211,-3.21157,-0.17887,-0,-0.589506,-51.8819,-4.72404,0.720536,0,-76.1784,-56.6059,11.832
CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)(NC[C@@H](O)COc2cccc3[nH]c(C#N)cc23)CC1,"4",9,Done,21.17,-3.32692,"gpcr_grid",-6.20892,-3.14383,-0.0324943,-0,-0.615364,-52.0031,-3.58411,0.720536,0,-75.5502,-55.5872,8.30739
CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)(NC[C@@H](O)COc2cccc3[nH]c(C#N)cc23)CC1,"4",9,Done,21.18,-3.17718,"gpcr_grid",-6.05918,-2.79437,-0.275747,-0,-0.529395,-50.1715,-4.47755,0.720536,0,-71.4517,-54.6491,13.4621
CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)(NC[C@@H](O)COc2cccc3[nH]c(C#N)cc23)CC1,"4",9,Done,21.18,-2.45084,"gpcr_grid",-5.33284,-2.06928,-0.430786,-0,-0.40635,-47.9513,-4.99598,0.720536,0,-68.8784,-52.9473,9.56522
CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)([NH2+]C[C@@H](O)COc2cccc3[nH]c(C#N)cc23)CC1,"4",10,Done,19.81,-8.27625,"gpcr_grid",-8.28085,-3.39589,-0.426257,-0,-0.624163,-50.5359,-13.2036,0.717907,-0.0451158,-99.2988,-63.7395,6.20996
CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)([NH2+]C[C@@H](O)COc2cccc3[nH]c(C#N)cc23)CC1,"4",10,Done,19.82,-8.89705,"gpcr_grid",-8.90165,-3.26843,-0.701633,-0,-0.6847,-44.6594,-17.5859,0.717907,-0.093934,-98.3867,-62.2454,10.8429
CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)([NH2+]C[C@@H](O)COc2cccc3[nH]c(C#N)cc23)CC1,"4",10,Done,19.82,-7.94138,"gpcr_grid",-7.94598,-3.2928,-0.426174,-0,-0.54504,-50.3337,-12.2516,0.717907,-0.0454448,-97.0527,-62.5853,5.26686
CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)([NH2+]C[C@@H](O)COc2cccc3[nH]c(C#N)cc23)CC1,"4",10,Done,19.83,-8.24845,"gpcr_grid",-8.25305,-2.725,-0.928678,-0,-0.38964,-43.6029,-17.1257,0.717907,-0.178642,-96.2202,-60.7286,6.03011
CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)([NH2+]C[C@@H](O)COc2cccc3[nH]c(C#N)cc23)CC1,"4",10,Done,19.83,-7.96211,"gpcr_grid",-7.96671,-2.72601,-0.561444,-0,-0.649124,-45.4412,-15.6734,0.717907,-0.124962,-93.463,-61.1147,9.69264
CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)([NH2+]C[C@@H](O)COc2cccc3[nH]c(C#N)cc23)CC1,"4",10,Done,19.83,-8.10012,"gpcr_grid",-8.10472,-2.78123,-0.76946,-0,-0.568628,-44.3129,-16.0418,0.717907,-0.0814005,-92.8468,-60.3546,10.6998
CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)([NH2+]C[C@@H](O)COc2cccc3[nH]c(C#N)cc23)CC1,"4",10,Done,19.83,-7.5533,"gpcr_grid",-7.5579,-3.09518,-0.289801,-0,-0.526582,-47.158,-13.0956,0.717907,-0.0419989,-92.4677,-60.2536,6.1496
CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)([NH2+]C[C@@H](O)COc2cccc3[nH]c(C#N)cc23)CC1,"4",10,Done,19.84,-7.94744,"gpcr_grid",-7.95204,-2.90054,-0.758981,-0,-0.613545,-43.5221,-14.227,0.717907,-0.0867352,-91.6975,-57.749,6.36145
CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)([NH2+]C[C@@H](O)COc2cccc3[nH]c(C#N)cc23)CC1,"4",10,Done,19.84,-6.82149,"gpcr_grid",-6.82609,-2.02692,-0.437229,-0,-0.615605,-44.3001,-14.6834,0.717907,-0.0467305,-86.4797,-58.9835,8.75141
CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)([NH2+]C[C@@H](O)COc2cccc3[nH]c(C#N)cc23)CC1,"4",10,Done,19.84,-6.73595,"gpcr_grid",-6.74055,-2.5803,-0.123178,-0,-0.630934,-44.6438,-12.2547,0.717907,-0.0536523,-85.0635,-56.8985,6.61477
COc1ccccc1OCCNC[C@@H](O)COc1cccc2[nH]c3ccccc3c12,"5",11,Done,25.98,-5.84947,"gpcr_grid",-7.08967,-3.55805,-0.0519161,-0,-1.09949,-47.2379,-6.46923,0.952063,0,-76.3797,-53.7071,4.45198
COc1ccccc1OCCNC[C@@H](O)COc1cccc2[nH]c3ccccc3c12,"5",11,Done,25.99,-6.606,"gpcr_grid",-7.8462,-3.69123,-0.219468,-0,-1.07109,-43.7406,-10.6566,0.952063,-0.0309573,-75.6599,-54.3972,12.5854
COc1ccccc1OCCNC[C@@H](O)COc1cccc2[nH]c3ccccc3c12,"5",11,Done,25.99,-6.31853,"gpcr_grid",-7.55873,-3.60713,-0.300572,-0,-1.02934,-41.3957,-9.8278,0.952063,-0.0297985,-71.1457,-51.2235,13.2475
COc1ccccc1OCCNC[C@@H](O)COc1cccc2[nH]c3ccccc3c12,"5",11,Done,25.99,-5.11127,"gpcr_grid",-6.35147,-3.1426,-0.155285,-0,-0.904342,-46.3749,-5.21704,0.952063,0,-70.8093,-51.592,6.17751
COc1ccccc1OCCNC[C@@H](O)COc1cccc2[nH]c3ccccc3c12,"5",11,Done,26,-5.93574,"gpcr_grid",-7.17594,-3.69356,-0.328694,-0,-0.837676,-46.9371,-6.14142,0.952063,0,-70.8088,-53.0786,14.9425
COc1ccccc1OCCNC[C@@H](O)COc1cccc2[nH]c3ccccc3c12,"5",11,Done,26,-5.02005,"gpcr_grid",-6.26025,-3.46707,0,-0,-0.978741,-47.4221,-2.636,0.952063,0,-68.6158,-50.0582,6.85608
COc1ccccc1OCCNC[C@@H](O)COc1cccc2[nH]c3ccccc3c12,"5",11,Done,26,-4.71343,"gpcr_grid",-5.95363,-2.9782,-0.20672,-0,-0.904342,-43.3377,-4.3303,0.952063,0,-64.8933,-47.668,7.36698
